Quarter_End_Date,Ticker,PE_Ratio,PB_Ratio,ROE,Debt_to_Equity,Dividend_Yield
2025-09-24,RELIANCE.NS,22.981056,2.2197328,0.0,36.605,40.0
2025-09-24,TCS.NS,22.27326,11.216756,51.589,9.714,199.0
2025-09-24,HDFCBANK.NS,21.743254,2.68436,13.925,0.0,114.99999999999999
2025-09-24,INFY.NS,22.03125,559.77527,30.365,8.894,421.0
2025-09-24,ICICIBANK.NS,18.817364,2.9937253,17.884000999999998,0.0,79.0
2025-09-24,HINDUNILVR.NS,55.54466,12.125579,0.0,3.322,190.0
2025-09-24,SBIN.NS,9.7260275,1.4852741,16.584,0.0,183.0
2025-09-24,ITC.NS,25.17263,7.1657047,0.0,0.405,389.0
2025-09-24,BHARTIARTL.NS,32.76383,9.823031,29.464000000000002,126.505,83.0
2025-09-24,LT.NS,31.887857,5.17347,0.0,114.735,93.0
2025-09-24,TATAMOTORS.NS,11.205086,2.1647072,0.0,61.549,86.0
2025-09-24,AXISBANK.NS,12.938484,1.852275,15.557000000000002,0.0,9.0
2025-09-24,BAJFINANCE.NS,36.64591,6.611472,20.079,294.158,43.0
2025-09-24,M&M.NS,29.261684,5.180121,0.0,145.369,70.0
2025-09-24,ADANIPORTS.NS,27.357155,4.966298,0.0,79.193,49.0
